,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID
0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
20,354.6,282.9,330.6,405.1,333.9,300.3,195.4,296.8,211.8,415.3,276.7,171.9,350.7,260.0,250.1,261.0,289.7,365.9,615.0,162.6,192.8,443.3,296.8,341.8,334.2,275.6,341.9,113.7,277.9,207.0,296.2,267.9,344.1,204.4,360.7,316.2,311.4,471.7,303.3,295.5,329.7,317.9,251.9,301.5,297.6,379.2,335.7,311.0,162.1,336.1,596.4,302.3,582.1,230.5,357.1,273.8,339.4,168.4,348.2,329.6,303.8,259.9,416.6,305.4,614.0,326.0,421.8,171.3,331.1,312.4,459.6,333.1,242.8,236.6,290.0,310.7,244.3,375.5,330.3,431.6,331.0,275.8,337.1,282.6,146.4,199.6,468.3,171.1,409.2,526.5,310.5,297.7,277.3,354.0,268.7,257.9,239.0,272.7,185.9,424.2
21,236.6,200.5,216.3,262.3,194.3,202.1,201.0,212.2,140.5,269.0,227.3,163.3,206.7,183.7,252.2,236.6,207.3,210.9,343.6,86.98,134.9,257.6,210.7,225.4,202.8,195.4,228.3,63.18,215.7,136.0,206.3,163.4,232.5,144.1,216.9,226.4,217.2,277.0,175.0,218.2,201.0,225.1,205.2,251.3,271.8,230.2,239.1,201.8,86.41,291.2,337.9,189.7,347.7,135.4,272.8,167.4,240.1,140.6,294.9,204.0,202.4,166.6,280.5,225.4,555.4,219.0,249.6,139.7,212.2,194.2,277.2,249.2,210.5,155.5,225.7,195.6,251.8,215.9,218.4,258.7,188.1,228.3,258.9,239.4,84.22,164.3,231.9,110.2,282.2,300.7,183.8,255.8,195.5,224.6,171.4,177.4,170.1,175.3,111.9,241.8
22,109.3,95.95,84.77,146.2,91.88,79.65,197.1,117.0,102.2,146.4,171.9,135.5,105.6,91.33,172.5,214.3,74.27,86.75,138.2,27.0,86.2,102.1,89.04,125.3,101.4,128.8,102.9,17.82,159.2,113.3,79.11,88.22,140.1,111.8,91.96,129.2,146.3,106.8,72.81,99.8,156.6,96.23,133.0,126.7,182.2,106.2,100.3,91.49,38.54,180.0,143.4,81.82,141.4,66.41,139.8,72.66,96.81,107.1,224.1,88.15,108.0,108.5,161.2,102.9,381.7,103.4,115.6,88.82,96.82,94.83,114.4,126.0,165.7,96.03,123.1,90.38,226.5,77.32,116.6,92.58,77.95,184.9,201.9,116.4,39.01,114.2,96.08,59.96,136.5,136.1,112.7,183.3,116.8,134.7,76.99,88.92,93.96,93.25,62.31,104.9
23,259.2,201.5,236.8,220.3,193.2,209.3,201.6,239.8,217.8,263.0,209.6,133.7,193.2,183.6,199.1,216.3,229.8,224.4,209.8,146.8,177.0,236.3,217.8,255.5,195.3,265.8,249.1,159.0,280.9,247.6,232.2,210.4,251.4,259.8,228.1,231.6,268.2,255.0,211.9,214.0,205.4,248.0,166.8,241.8,200.0,251.5,265.5,212.2,190.9,311.3,199.9,222.9,234.9,205.3,296.8,185.8,236.9,276.2,342.1,231.9,217.1,238.8,301.8,249.8,300.3,245.7,218.1,100.6,228.9,222.4,240.8,237.4,203.4,222.8,204.4,216.8,222.9,198.4,225.5,216.7,190.5,338.2,340.8,216.2,172.9,189.1,181.8,195.7,217.4,243.3,210.8,184.5,266.4,243.3,194.7,206.8,208.6,225.0,186.4,224.6
24,52.57,26.55,20.95,12.95,12.71,26.7,186.7,72.51,94.38,91.03,133.3,122.0,26.89,25.59,151.3,189.2,15.86,9.284,9.972,9.13,79.47,32.15,40.99,51.83,17.89,116.1,31.65,7.02,136.2,129.7,17.66,47.65,68.21,104.6,10.93,80.03,115.9,44.84,9.963,54.78,127.5,25.19,128.9,92.96,150.1,44.25,54.29,21.76,22.6,113.6,13.9,16.41,25.16,39.76,87.36,18.76,36.24,147.9,148.2,20.79,33.7,94.13,118.0,62.96,201.1,41.19,53.26,91.07,19.75,27.89,46.77,73.22,137.4,76.5,91.4,24.73,190.1,8.157,45.58,44.54,1.157,154.4,172.3,80.96,22.86,126.6,5.435,46.66,98.97,30.17,93.8,139.4,74.01,102.6,24.81,70.73,69.89,59.54,52.85,38.17
25,50.26,26.13,18.94,11.73,11.71,9.501,170.3,62.56,94.7,85.04,99.66,108.8,36.76,10.25,90.13,171.6,9.843,5.282,8.021,8.798,47.38,24.6,18.7,45.48,13.68,104.4,29.69,4.479,122.5,128.2,13.16,43.2,65.46,103.0,7.236,38.77,112.3,28.14,4.311,15.52,118.3,21.08,84.65,41.11,93.11,41.23,31.83,19.27,21.32,65.61,13.45,15.49,15.24,37.67,54.91,16.13,28.18,133.3,100.9,17.82,31.02,93.15,106.9,31.93,134.4,40.76,51.38,51.42,17.47,23.29,23.63,43.22,97.75,74.53,35.81,24.63,161.0,8.187,40.19,5.063,0.6745,134.1,152.0,23.1,20.05,83.44,4.62,45.97,35.21,22.58,93.42,92.06,61.64,98.84,24.61,50.93,68.95,57.8,50.43,30.99
26,54.61,26.74,18.51,16.27,10.89,9.236,163.2,61.66,98.7,84.56,83.65,95.0,36.66,8.917,57.1,161.3,9.715,3.634,12.54,8.851,40.91,27.78,18.11,44.2,10.76,98.94,29.18,3.594,118.1,139.2,16.73,40.97,66.36,103.8,15.16,31.69,115.7,28.41,8.684,10.43,114.1,20.54,73.02,39.67,56.9,45.23,35.28,19.14,22.16,53.44,13.1,15.02,36.34,37.26,47.4,16.14,28.48,132.2,73.01,16.74,29.13,94.06,101.6,41.58,86.74,72.85,51.33,45.22,16.25,23.87,25.14,40.87,77.18,77.42,22.22,28.38,149.7,25.03,38.48,3.174,0.5389,120.9,148.3,20.69,21.94,76.42,4.209,47.08,22.14,21.82,94.62,68.6,52.32,102.5,26.32,51.84,69.66,60.26,58.86,31.19
27,77.15,202.4,70.53,43.6,54.32,359.6,156.5,213.0,436.0,232.8,78.21,87.47,669.1,616.2,92.79,175.2,154.4,102.5,128.6,145.0,152.6,58.85,210.1,75.87,22.56,134.4,65.78,83.61,159.6,144.8,50.77,127.6,128.3,123.5,388.3,109.9,173.2,221.0,430.5,17.88,197.3,239.5,69.48,53.99,124.4,173.2,111.2,161.9,117.7,542.1,107.8,175.3,324.6,197.6,59.72,66.53,38.55,472.5,379.7,100.6,50.06,274.8,184.9,447.9,65.07,665.8,91.94,51.6,125.8,45.52,116.8,157.1,71.06,412.7,289.6,284.1,143.9,465.3,382.5,19.66,130.3,157.0,449.3,212.8,43.82,142.1,108.3,486.1,47.01,378.0,98.23,46.42,106.5,464.8,410.7,186.2,447.2,280.7,403.6,184.7
28,638.9,814.5,650.3,928.5,800.2,636.4,201.5,770.9,619.9,356.8,382.3,141.0,300.6,321.9,522.8,240.7,758.4,547.3,409.4,648.5,480.4,427.0,709.0,733.4,1076.0,584.7,779.4,837.9,581.4,538.0,874.4,812.0,753.9,658.0,268.3,528.9,658.4,404.3,238.0,487.5,392.2,723.8,242.6,420.0,373.1,517.0,588.8,866.4,789.1,227.3,558.6,723.1,195.0,454.7,230.0,804.3,705.6,344.6,546.7,828.3,1032.0,460.5,483.3,413.3,164.2,224.3,551.0,208.7,814.4,812.4,435.7,596.8,280.5,358.7,371.8,556.2,174.7,230.7,576.2,484.0,628.4,653.2,249.5,527.3,460.3,443.7,648.5,592.9,374.5,203.2,578.6,125.1,884.2,275.8,627.8,529.6,620.9,431.7,263.9,391.6
29,425.0,365.0,448.1,605.6,469.0,358.2,218.5,327.4,167.8,211.9,364.8,190.2,378.3,314.6,415.2,211.7,367.9,363.0,380.1,123.4,191.8,363.6,338.6,410.7,404.2,264.2,451.9,111.7,261.4,167.5,419.3,268.3,328.5,249.8,394.4,383.1,322.9,367.6,321.6,705.9,215.7,410.0,548.0,684.7,363.7,403.2,430.5,372.7,119.9,318.4,386.2,336.3,379.3,151.9,933.8,378.4,697.8,144.7,223.0,403.1,373.7,157.7,242.5,375.5,308.1,381.0,225.5,295.2,387.5,381.2,342.2,442.2,515.5,183.3,330.6,342.0,195.5,389.3,373.8,454.4,365.4,237.0,227.4,362.2,194.7,202.5,381.3,131.7,434.7,370.7,242.4,480.4,309.4,231.1,276.6,240.8,234.3,272.5,111.1,332.5
